Code produit Fournisseur;EAN;Désignation du produit (NOM COMMERCIAL); Libellé Bon de livraison; Descriptif du produit; Durée garantie; Catégorie Arborescence Internet;Slogan;Qualité livrée;Couleur;Marque;Nombre de pièces par paquet;Hauteur adulte;Les plus du produit (1);Les plus du produit (2);Les plus du produit (3);EcoTaxe;Image_principale;Image secondaire 1;Image secondaire 2;Image secondaire 3;Image secondaire 4;Image secondaire 5;Vidéo Lien youtube;Fiche PDF;Période de plantation;Période de floraison;Période de semis;Période de récolte;Période de livraison;Type de sol;Exposition;Type utilisation;Type de Livraison
80489133;;CHOUETTE EPOUVANTAIL;CHOUETTE EPOUVANTAIL;Un bon moyen pour faire peur aux oiseaux. Cette chouette est à suspendre à l endroit que vous voulez protéger et les oiseaux ne viendront plus Réalisé en matière plastique recouverte d un film holographique spécial qui réfléchit la lumière et rend le sujet impressionnant pour les oiseaux. Equipé d un oeillet ( prêt à être suspendu) et d un contre poids forme fleur. Matière : PVC;1 an;3040;;La pièce;Aucune;;;;;;;;MAR-80489.jpg;MAR-80489-2.jpg;;;;;;;;;;;;;;;01-Depart Willemse
80665133;;COCCINELLE DECORATION ARBRE;COCCINELLE DECORATION ARBRE;Jolie décoration pour le jardin : - à fixer sur les troncs d arbre, palissade - kit de fixation + vis fourni - peut également agrémenter une plante grimpante, être fixé sur un bac en bois - vendue à l unité Matière : PLASTIQUE;1 an;3040;;La pièce;Aucune;;;;;;;;MAR-80665.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80862133;;RESERVE D'EAU 80 LITRES TRANSPORTABLE;RESERVE D'EAU 80 LITRES TRANSPORTABLE;Pratique pour les jardiniers, les bricoleurs, les cavaliers... lorsque le point d eau est trop éloigné et le tuyau d arrosage pas assez long. Permet de transporter jusqu à 80 litres d eau Se pose dans une brouette puis se remplit à un point d eau fixe (robinet ou tuyau d arrosage) Livrée avec un filet anti-glisse à poser dessous. Matière : PE polythène;1 an;3020;;La pièce;Aucune;;;;;;;;MAR-80862.jpg;MAR-80862-2.jpg;;;;;;;;;;;;;;;01-Depart Willemse
80612133;;RESERVE D'EAU 225 LITRES;RESERVE D'EAU 225 LITRES;Voici le produit que tout le monde attendait. C est le complément idéal au récupérateur d eau qui connaît un grand succès. C est un nouveau concept car cette réserve d eau est facilement démontable donc facile à ranger grâce aux armatures. La réserve est légère, robuste, pratique avec ses deux robinets, sécurisante avec son couvercle souple, esthétique et solide (en PVC souple fibré). Contenance 225 litres, hauteur 79cm, diamètre 60cm. Structure liner : 70/100. Livré avec un couvercle, un robinet de puisage sur le bac, une vanne de vidange avec raccord. existe en BEIGE SABLE et VERT FONCE.;1 an;3020;;La pièce;Aucune;;;;;;;;MAR-80612.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80163106;;5 MARQUE-PLANTES + 6 ETIQUETTES;5 MARQUE-PLANTES + 6 ETIQUETTES;Ces marque-plantes vous aideront à retrouver l emplacement des graines que vous avez plantées. En lot de 5 + 6 étiquettes plastifiées (7 x 2.5cm) Coloris vert Hauteur tige 24cm + support étiquette (9x4.5cm). Matière : polypropylène;1 an;3040;;Lot de 5;Aucune;;;;;;;;MAR-80163.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80212212;;2 TAPIS CAOUTCHOUC MARCHES;2 TAPIS CAOUTCHOUC MARCHES;Ces tapis en caoutchouc, d excellente qualité, sont très décoratifs et en plus sont des éléments de sécurité indispensables pour éviter de glisser sur les marches. Grâce à leur dessin spécialement étudié, ils laissent passer l eau, la neige, la boue. Ils sont autocollants, résistent à toutes les intempéries. Matière : gomme caoutchouc;1 an;3040;;Lot de 2;Aucune;;;;;;;;MAR-80212.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80223133;;HOUSSE POUR 4 FAUTEUILS;HOUSSE POUR 4 FAUTEUILS;Grâce à ces housses, votre mobilier de jardin sera protégé des intempéries et de la pluie. Aussi il sera toujours prêt à être utilisé sans le fastidieux nettoyage ou essuyage après les averses. Joli décor imprimé OIES et TOURNESOL . Matière : PVC;1 an;3200;;La pièce;Aucune;;;;;;;;MAR-80223.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80641633;;6 EPOUVANTAILS OISEAUX FORME TOURNESOLS;6 EPOUVANTAILS OISEAUX FORME TOURNESOLS;A planter dans votre potager, vos semis, vos plates-bandes, pelouse en germination pour éloigner les oiseaux : - centre caléidoscope réfléchissant la lumière. Matière : plastique;1 an;3040;;Lot de 6;Aucune;;;;;;;;MAR-80641.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80582133;;POMME D'ARROSAGE TETE ORIENTABLE 180°;POMME D'ARROSAGE TETE ORIENTABLE 180°;Cette pomme d arrosage se fixe très simplement et facilement sur votre tuyau d arrosage grâce à l embout universel automatique. Sa tête est orientable à 180 degrés et permet d arroser dans toutes les directions. Elle dispose de HUIT jets différents. Pour la mettre en route ou l arrêter, il suffit d actionner le bouton situé près de la poignée ergonomique. Réalisé en bi-matière : plastique et caoutchouc. Matière : plastique et caoutchouc;1 an;3360;;La pièce;Aucune;;;;;;;;MAR-80582.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80604133;;ENLEVE EPINES;ENLEVE EPINES;Permet d ôter facilement les épines des tiges de roses S utilise comme une pince Lame non coupante en métal Manche en matière plastique. Forme ergonomique. Matière : plastique et métal;1 an;3360;;La pièce;Aucune;;;;;;;;MAR-80604.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
81114133;;PAILLASSON D ENTREE 3 CERFS 45X75CM;PAILLASSON D ENTREE 3 CERFS 45X75CM;Paillasson de qualité au design élégant. Décoré de 3 cerfs. Paillasson en fibres de coco, Base avec arabesques en caoutchouc. Matière : 65%caoutchouc/35%coco;1 an;3040;;La pièce;Aucune;;;;;;;;MAR-81114.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80187133;;PORTE TUYAU ARROSAGE PLASTIQUE BLANC;PORTE TUYAU ARROSAGE PLASTIQUE BLANC;Il se fixe rapidement et facilement sans clou ni vis, autour du robinet d arrivée d eau. On a ainsi toujours son tuyau à portée de main, bien rangé. Matière : PLASTIQUE;1 an;3020;;La pièce;Aucune;;;;;;;;MAR-80187.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80347433;;4 PROTEGE-SALADES JEUNES POUSSES;4 PROTEGE-SALADES JEUNES POUSSES;Il arrive que les salades de votre jardin soient détruites par les limaces ? Essayer le protège salade. Idéal pour protéger les jeunes pousses de salades et autres légumes attaqus par les limaces, cet ingénieux système vous permettra de protéger vos légumes. Il vous suffit de le mettre autour de votre salade et de l enfoncer dans la terre pour créer une barrière infranchissable pour les limaces, grâce à sa collerette. Dimensions : 19 x 12 cm. Vendu par lot de QUATRES.;1 an;3180;;Lot de 4;Aucune;;;;;;;;MAR-80347.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80395133;;PORTE POT DE COIN POUR BALCON;PORTE POT DE COIN POUR BALCON;Ce porte-pot est idéal pour être posé sur le coin d une rambarde. Cela permet d y mettre un plante ou tout autre objet décoratif. Coloris vert foncé. Matière : métal plastifié;1 an;3380;;La pièce;Aucune;;;;;;;;MAR-80395.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80647233;;PETIT SAC JARDINAGE;PETIT SAC JARDINAGE;Pour transporter les légumes faîchement cueillis dans votre jardin, ramasser les pommes... - 1poche imprimée devant pour accessoire - 2 poignées. Matière : toile plastifiée;1 an;3200;;La pièce;Aucune;;;;;;;;MAR-80647.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
80796133;;PORTE PLANTE ROND A ROULETTES;PORTE PLANTE ROND A ROULETTES;Porte plante en fil d acier robuste et pratique pour les pots volumineux : - motif intérieur fleurs 6 pétales - 3 roulettes - charge maximum 50kg - coloris vert. Matière : métal;1 an;3040;;La pièce;Aucune;;;;;;;;MAR-80796.jpg;MAR-80796-2.jpg;;;;;;;;;;;;;;;01-Depart Willemse
