Code produit Fournisseur;Désignation du produit (NOM COMMERCIAL);Prix de cession HT;Frais de Livraison;TVA;Delai de livraison;Produit disponible
669;Azalée japonaise Amoena;15.64;;Taux réduit (10%);1 Semaine;Oui
679;Azalée japonaise Dai Setsu Zan;15.64;;Taux réduit (10%);1 Semaine;Oui
682;Azalée japonaise Girard s Scarlet;15.64;;Taux réduit (10%);1 Semaine;Oui
688;Azalée japonaise Hinomayo;15.64;;Taux réduit (10%);1 Semaine;Oui
4208;Azalée japonaise Hot Shot;15.64;;Taux réduit (10%);1 Semaine;Oui
690;Azalée japonaise Johanna;15.64;;Taux réduit (10%);1 Semaine;Oui
714;Azalée japonaise Sylvester;15.64;;Taux réduit (10%);1 Semaine;Oui
715;Azalée japonaise Tamanini;15.64;;Taux réduit (10%);1 Semaine;Oui
718;Azalée japonaise White Prince;15.64;;Taux réduit (10%);1 Semaine;Oui
707;Azalée japonaise Rosa King;15.64;;Taux réduit (10%);1 Semaine;Oui
4998;Camellia Adorable;20.73;;Taux réduit (10%);1 Semaine;Oui
733;Camellia Black Lace;20.73;;Taux réduit (10%);1 Semaine;Momentanément indisponible
737;Camellia Botanyuki;20.73;;Taux réduit (10%);1 Semaine;Oui
764;Camellia E.T.R. Carlyon;20.73;;Taux réduit (10%);1 Semaine;Oui
344;Camellia Nicky Crisp;20.73;;Taux réduit (10%);1 Semaine;Oui
802;Camellia Prima Ballerina;20.73;;Taux réduit (10%);1 Semaine;Momentanément indisponible
331;Camellia Red Red Rose;20.73;;Taux réduit (10%);1 Semaine;Oui
313;Camellia Spring Formal;20.73;;Taux réduit (10%);1 Semaine;Oui
337;Camellia Stacy Susan;20.73;;Taux réduit (10%);1 Semaine;Oui
2516;Camellia Volcano;20.73;;Taux réduit (10%);1 Semaine;Oui
454;Rhododendron hybride Wilgens Ruby;23.64;;Taux réduit (10%);1 Semaine;Oui
1069;Pieris Forest Flame;21.45;;Taux réduit (10%);1 Semaine;Oui
1073;Pieris Mountain Fire;21.45;;Taux réduit (10%);1 Semaine;Oui
1068;Pieris Flaming Silver;21.45;;Taux réduit (10%);1 Semaine;Oui
4500;Rhododendron hybride Eucharitis;23.64;;Taux réduit (10%);1 Semaine;Oui
450;Rhododendron hybride Tortoishell Orange;23.64;;Taux réduit (10%);1 Semaine;Oui
432;Rhododendron hybride Madame Masson;23.64;;Taux réduit (10%);1 Semaine;Oui
4485;Rhododendron ponticum;23.64;;Taux réduit (10%);1 Semaine;Oui
1000808;Rhododendron nain Blue Silver;20.73;;Taux réduit (10%);1 Semaine;Oui
1000783;Rhododendron nain Cream Crest;20.73;;Taux réduit (10%);1 Semaine;Oui
581;Rhododendron nain Baden-Baden;20.73;;Taux réduit (10%);1 Semaine;Oui
2632;Rhododendron yakushimanum;20.73;;Taux réduit (10%);1 Semaine;Momentanément indisponible
1852;Rhododendron yakushimanum Dreamland;20.73;;Taux réduit (10%);1 Semaine;Oui
30;Azalée caduque Peter Koster;25.38;;Taux réduit (10%);1 Semaine;Momentanément indisponible
22;Azalée caduque Kentucky Minstrel;25.38;;Taux réduit (10%);1 Semaine;Oui
28;Azalée caduque Orangeade;25.38;;Taux réduit (10%);1 Semaine;Oui
5111;Azalée caduque Rosy Lights;25.38;;Taux réduit (10%);1 Semaine;Momentanément indisponible
10;Azalée caduque Daviesii;25.38;;Taux normal (20%);1 Semaine;Oui
