Code produit Fournisseur;EAN;Désignation du produit (NOM COMMERCIAL); Libellé Bon de livraison; Descriptif du produit; Durée garantie; Catégorie Arborescence Internet;Slogan;Qualité livrée;Couleur;Marque;Nombre de pièces par paquet;Hauteur adulte;Les plus du produit (1);Les plus du produit (2);Les plus du produit (3);EcoTaxe;Image_principale;Image secondaire 1;Image secondaire 2;Image secondaire 3;Image secondaire 4;Image secondaire 5;Vidéo Lien youtube;Fiche PDF;Période de plantation;Période de floraison;Période de semis;Période de récolte;Période de livraison;Type de sol;Exposition;Type utilisation;Type de Livraison
987987987;;test666;testestestest;testestetsetsetset;1 an;-1;;6;Aucune;;3;6;;;;0;RIM-falling-snowflakes-free-stock-vector-3.jpg;;;;;;;;;;;;00;;;;00-Depart Fournisseur
987987;;987978;987978;descdescdescdesc;1 an;-1;;10;Aucune;;8;9;;;;0;RIM-falling-snowflakes-free-stock-vector-3.jpg;;;;;;;;;;;;00;;;;00-Depart Fournisseur
aaa;;aaaa;aaaa;aaaa;1 an;3500;;2;Orange;;3;31;;;;0;RIM-falling-snowflakes-free-stock-vector-3.jpg;;;;;;;;;;;;00;;;;00-Depart Fournisseur
35633;; Boule solaire 6LED bleu ; Boule solaire 6LED bleu ;Balisage originale à suspendre (ou à poser), en forme de boule - A suspendre à une branche, à une baleine de parasol coloris acidulé pour une harmonie parfaite à votre mobilier de jardin. Alimentation par panneau solaire monocristalin 40mA 2V : durant la journée, le panneau solaire alimente la batterie. Ainsi, dès la nuit tombée, l ampoule s éclaire automatiquement pour diffuser une douce lueur - Double panneau solaire  6 LED blanches  L x l x h : 9cm 9cm 12,5cm / poids net123g Matériaux : plastique Alimentation : 1 bat. AA NiMh 1,2V 600mAh   ;1 an;3080;Idéale pour éclairer vos soirées d été;Boule solaire bleu;Multicolore;;;;Balisage originale à suspendre;harmonie parfaite au mobilier;;;RIM-35633.jpg;RIM-35633-300.jpg;;;;;;;;;;;;;;;00-Depart Fournisseur
35622;;Lanterne Casablanca Bleu Russe;Lanterne Casablanca Bleu Russe;Lanterne en métal façon orientale trouvera idéalement sa place sur une table en métal, ou mobilier de jardin tendance -  Le panneau solaire capte les rayons du soleil et recharge la batterie tout au long de la journée, et dès la tombée de la nuit, la lumière dégagée par la LED offrira des jolis jeux de lumière autour de la lanterne. Interrupteur marche - arrêt 1 LED blanche - Durée de l éclairage : 6h/8h pour 1 journée de charge -  Matériaux : métal Dimensions : 13L (cm) x 13 h (cm) x 18h (cm) Poids Net (g): 280 Alim. Electrique: 1* AAA NiMh 1,2V 300mAh (Fournie);1 an;3080;Superbe décoration pour le jardin;Lanterne Casablanca Bleu Russe;Multicolore;;;;Lanterne métal façon orientale;mobilier de jardin tendance;jolis jeux de lumière;;RIM-35622.jpg;;;;;;;;;;;;;;;;00-Depart Fournisseur
35534;;Lanterne solaire Constantine;Lanterne solaire Constantine;Lanterne en métal façon orientale trouvera idéalement sa place sur une table. Coloris tendance donnant du peps à votre jardin ou balcon / terrasse Le panneau solaire capte les rayons du soleil et recharge la batterie tout au long de la journée, et dès la tombée de la nuit, la lumière dégagée par la LED offrira des jolis jeux de lumière autour de la lanterne. 1 LED blanche - Durée de l éclairage : 6h/8h pour 1 journée de charge -  Matériaux : métal Dimensions : 17,5L (cm) x 17,5 h (cm) x 24,5h (cm) Poids Net (g): 650 Alim. Electrique: 1* 2/3 AA NiMh 1,2V 600mAh (Fournie);1 an;3080;Apportez une touche exotique au jardin;Lanterne Constantine blanche;Multicolore;;;;Donne du peps à votre jardin;Magnifiques jeux de lumière;;;RIM-35534.jpg;;;;;;;;;;;;;;;;00-Depart Fournisseur
35545;;Cône tressé solaire 62cm;Cône tressé solaire 62cm; Cône solaire tressé tendance, à piquer dans le sol le long d une allée.  Le panneau solaire capte les rayons du soleil et recharge les batteries tout au long de la journée, la lampe s illuminera automatiquement dès la tombée de la nuit. Panneau solaire amorphe : 2V 40mA (situé à l intérieur de la boule en verre). 1 Led blanche Durée de l éclairage : 6h pour 1 journée de charge  L x l x h : 10cm 10cm 62cm / poids net285g Matériaux : PVC Alimentation : 1 bat. AA NiMh 1,2V 300mAh;1 an;3080;Atmosphère lumineuse et chaleureuse;Cône tressé solaire 62cm;Multicolore;;;;Cône solaire tressé tendance;Cône solaire tressé tendance;Magnifique le long d une allée;;RIM-35545.jpg;;;;;;;;;;;;;;;;00-Depart Fournisseur
33229;;Lot de 2 pièges à guêpes;Lot de 2 pièges à guêpes;Se pose ou se suspend Lot de pièges à guêpes colorés : vert/bleu et rouge/orangé -  Simple d utilisation : il suffit d y verser du liquide sucré (jus d orange, sirop de fraise ...) attirées les guêpes ne peuvent en ressortir, car elles ne retrouvent plus l ouverture. Pour une utilisation en extérieur comme en intérieur. Ouverture / fermeture par bouchon en liège Anse pour pouvoir suspendre le piège à guêpes Hauteur avec anse : 22 cm - diamètre 9.2cm;1 an;3080;Très utile et décoratif;Hauteur avec anse : 22 cm - diam 9.2cm;Multicolore;;;;Simple d utilisation;A poser ou a suspendre;Très colorés;;RIM-33229.jpg;RIM-33229-SIT.jpg;;;;;;;;;;;;;;;00-Depart Fournisseur
33114;;Chariot Jardin 3 en 1;Chariot Jardin 3 en 1;une solution pour chaque usageMultipositions : en mode chariot 4 roues, pour transporter le bois du jardin à la maison (facile à diriger grâce aux 2 petites roues directionnelles) - position diable : sur les 2 roues principales pour transporter les objets lourds - position : poubelle (cerclage prévu pour maintenir le sac poubelle) - capacité jusqu à 60kg - 2 roues en plastique de Ø15cm + 2 roues directionnelles de Ø5 cm - Structure en Acier -  L x l x h : 57cm 40cm 60cm / poids net5000g Matériaux : métal;1 an;3480;Indispensable et multifonctions;Matériaux : métal;Multicolore;;;;une solution pour chaque usage;Pratique et utile;;;RIM-33114-1.jpg;RIM-33114-2.jpg;RIM-33114-3.jpg;;;;;;;;;;;;;;00-Depart Fournisseur
PRP119D;;PULVERISATEUR 12L "PULRPO12" A DOS ;PULVERISATEUR 12L "PULRPO12" A DOS ;Optez pour ce pulvérisateur à  dos à  pression entretenue d une capacité de 12 L. Facile à  transporter. Élimine efficacement les insectes qui nuisent aux végétaux.;1 an;3280;Pour éliminer les insectes nuisibles !;Fibre de verre et buse à jet réglable;Multicolore;1;;;Démontable;Réglage du débit à la gâchette;;;RIM-0020.jpg;;;;;;;;;;;;;;;;01-Depart Willemse
