Code produit Fournisseur;EAN;Désignation du produit (NOM COMMERCIAL); Désignation Latine; Libellé Bon de livraison; Descriptif du produit; Durée garantie; Catégorie Arborescence Internet;Slogan;Qualité livrée;Couleur;Marque;Nombre de pièces par paquet;Hauteur adulte;Les plus du produit (1);Les plus du produit (2);Les plus du produit (3);Image_principale;Image secondaire 1;Image secondaire 2;Image secondaire 3;Image secondaire 4;Image secondaire 5;Vidéo Lien youtube;Fiche PDF;Période de plantation;Période de floraison;Période de semis;Période de récolte;Période de livraison;Type de sol;Exposition;Type utilisation;Type de Livraison
 xxxx;;Romarin officinal  ;;Rosmarinus officinalis C3l;Le Rosmarinus est un arbuste typique de la région méditerranéenne. Son feuillage étroit de 4 cm de long libère une odeur. Les feuilles sont vertes foncées au revers grisâtre. A la base des feuilles, vous pourrez apercevoir le long des branches des fleurs regroupées par deux ou trois de couleur bleue. Cet arbuste à la silhouette dressée et aux rameaux arqués peut atteindre 1.20 m de haut et de large. Il supporte des températures proches de -13°C/+ et privilégiez un sol sec à la plantation. Il est utilisé en cuisine où les feuilles permettront de parfumer vos plats.;1 an;420;Feuillage allongé et rustique;En pot de 3 litres;Bleu;;1;1.20 m;Feuillage aromatique.;;;;MAA-rosmarinus_officinalis.JPG;;;;;;;;03-04;04-05-06;;;;1;13-14;1-6-7-8;00-Depart Fournisseur
2477;;Erable freemanii Autumn Blaze Jeffersred;;Acer freemanii Blaze 'Jeffersred  C10l;L'érable Autumn Blaze 'Jeffersred' remarquable pour ses feuilles hautes en couleur dispose d'une silhouette arrondie. Il peut atteindre 18 m de haut et une envergure de 12 m. Cet arbre à l'écorce grise, très esthétique porte un feuillage lobé et légèrement découpé dans des tons vert clair. Puis en automne, elles se teinteront d'un rouge exceptionnel. Une taille de mise en forme peut se pratiquer au mois de Février-Mars et abritez le si possible des vents violents et des dernières gelées.  L Erable a une attirance pour un milieu acide lors de la plantation. ;1 an;240;Feuilles rouge orangé en automne ;En pot de 10 litres. Tigette;Rouge;;1;18 m;Feuillage coloré et décortif;;;;MAA-acer_autumn_blaze.jpg;MAA-acer_autumn_blaze_1.jpg;MAA-acer_autumn_blaze_2.jpg;;;;;;;;;;;1;14-15;7;00-Depart Fournisseur
8698;;Palmier capitata;;Butia capitata C10l;Le feuillage splendide de ce palmier est de couleur gris à vert avec des touches de bleu. Les fleurs forment de grandes inflorescences retombantes, elles sont de couleur blanc crème. Il donne des fruits comestibles de couleur jaune sur une grappe. Il peut atteindre 4 à 6 m de haut et 3 à 5 m d'envergure. Ce palmier est l'un des plus résistants au froid, il supporte des températures allant jusqu'à -13°C et à la plantez-le dans un sol de préférence drainé. Couvrez-le durant les hivers rigoureux avec un voile d hivernage.;1 an;400;Beau plamier bleuté;En pot de 10 litres H. 40/60 cm;Blanc;;1;4 à 6 m;Résitant au froid;Un feuillage magnifique;;;MAA-butia_capitata.JPG;;;;;;;;00;06-07-08-08;;;;1;13;7-10;00-Depart Fournisseur
3922;;Lavande angustifolia 'Hidcote Blue';;Lavandula angusti 'Hidcote Blue' C2l;La Lavande est une plante qui apporte un côté méditerranéen dans les jardins. Cet arbuste nain à la silhouette dense offre des fleurs parfumées de couleur bleue violet assemblées en épis. Son feuillage fin, grand et parfumé est de couleur gris due au duvet sur les feuilles. Elle atteint 50 cm de haut et 60 cm de large. Elle résiste jusqu à -15°C. Privilégiez un sol drainant et taillez la Lavande une fois sa floraison terminée.Les fleurs sont utilisées dans les bouquets séchés, dans des pochons senteurs pour leur parfum mais c'est aussi une plante médicinale avec des propriétés nombreuses. ;1 an;1060;Feuillage fin et très parfumée!;En pot de 2 litres;Violet;;1;50 cm;elle dégage un parfum agréable;Plante médicinale;Propriétés nombreuses;0;MAA-lavandula_hidcote_blue.jpg;MAA-lavandula_hidcote_blue_C2l.jpg;;;;;;;03-04;06-07;;;;1;13;1-7-8-9-10;00-Depart Fournisseur
5391;;Lavande stoechas pedunculata;;Lavandula stoechas pedunculata C2l;La Lavande est une plante qui apporte un côté méditerranéen dans les jardins. Elle est appelée lavande papillon en raison des tiges pourpres sur lesquelles on retrouve des fleurs violettes, rose au sommet. Elles sont assemblées en épis et dégagent un parfum agréable. Son feuillage fin et parfumé est de couleur grise. La Lavande monte jusqu'à 80 cm et s'étale sur 60 cm. Elle résiste jusqu à -10°C. Privilégiez un sol drainant et taillez la Lavande une fois sa floraison terminée.Les fleurs sont utilisées dans les bouquets séchés, dans des pochons senteurs mais c'est aussi une plante médicinale. ;1 an;1060;Feuillage fin et très parfumée!;En pot de 2 litres;Violet;;1;80 cm;elle dégage un parfum agréable;Plante médicinale;Propriétés nombreuses;0;MAA-lavandula_stoechas_pedunculata.jpg;MAA-lavandula_stoechas_pedunculata_C2l.jpg;;;;;;;03-04;05-06-07;;;;1;13;1-7-8-9-10;00-Depart Fournisseur
7912;;Troëne jonandrum;;Ligustrum jonandrum C25l;Le ligustrum jonandrum à la silhouette buissonnante est un des arbustes supportant des tailles régulières, il est idéal pour l'art topiaire. Son feuillage vert est dense, petit, pointu, brillant et de forme ovale. Il est souvent utilisé en boule et demi-tige. Il atteint 1.50 m de haut sur une largeur de 1 m. Il supporte des températures avoisinant les -13°C. Taillez votre Ligustrum en boule avec une cisaille 2 à 4 fois chaque année pour garder sa forme en boule. Pour la culture en pot, arrosez régulièrement et mettez un engrais au printemps. ;1 an;420;Idéal pour l art topiaire;Pot 25 L- 3 boules atonium H. 125/150 cm;Vert;;1;1.50 m;Idéal pour l art topiaire.;;;;MAA-ligustrum_3_boules_atonium.JPG;MAA-;;;;;;;00;;;;;1;13-14;7-8-10;00-Depart Fournisseur
1591;;Goji barbarum;;Lycium barbarum C3l;Le Lycium barbarum donne un fruit connu pour ses vertus, il s'agit des baies de Goji. Elles ont un effet anti-oxydent, énergétique, anti-stress... Son feuillage long, petit et fin est de couleur verte. Les fleurs forment des étoiles blanches et violettes. Les fruits rouges sont  allongés et se récoltent à la fin de l'été. Ils ont un goût sucré et désaltérant. On retrouve les baies sur toute la longueur des branches. Les fruits seront de plus en plus nombreux au fil du temps. Il peut atteindre 2 m de haut sur une envergure de 2.50 m. Il résiste jusqu'à -20°C. En Février-Mars, taillez le lycium ;1 an;420;Délicieux frais ou séché !;En pot de 3 litres;Multicolore;;1;2 m;Baies de Goji comestibles. ;Proprités médicinales;;;MAA-lycium_barbarum.jpg;MAA-lycium_barbarum_C3l.jpg;;;;;;;00;05-06;;;;1;13;7-8-10;00-Depart Fournisseur
592;;Arbuste aux bonbons;;Callicarpa bodinieri  Profusion  C3l;Cet arbuste à la silhouette érigée et dense porte le nom d'arbre aux bonbons en raison de ses fruits esthétiques. Ils sont de petite taille ronde, regroupés en grappes. Le feuillage de couleur verte se teinte en automne de pourpre. Les feuilles ovales sont légèrement dentées sur le bord du limbe avec un duvet au revers. Les fleurs sont petites, de couleur violette.  Il peut atteindre 2 m de haut sur 2 m de large. Il supporte des températures avoisinant les -20°C. Une taille de 10 cm peut être pratiquée tous les ans en Février-Mars. ;1 an;420;Fruits bleu, très décoratifs;En pot de 3 litres;Violet;;1;2 m;;;;;MAA-callicarpa_bodinieri_profusion.jpg;MAA-;;;;;;;00;07;;;;1;13-14;6-8;00-Depart Fournisseur
591;;Callistemon laevis;;Callistemon laevis C3-4l;Le Callistemon est remarquable pour ses fleurs fabuleuses, abondantes de couleur rouge sur des rameaux courbés. Elles ressemblent à des rince-bouteilles d'où l'origine de son nom français. Les fleurs sont larges et coriaces avec les étamines rassemblées autour d'un épi qui fait 5 à 10 cm de long. Les feuilles persistantes de couleur verte sont fines et coriaces. Cet arbuste de 2 m de haut sur 1 m de large est utilisé dans les massifs ou en pot.  Il peut résister à des températures avoisinant les -10°C/+. A la fin du mois d'Octobre, le Callistemon peut être taillé. ;1 an;420;Floraison éclatante et très originale !;En pot de 3-4 litres;Rouge;;1;2 m;Floraison abondante et longue;;;;MAA-callistemon_laevis.jpg;MAA-;;;;;;;03-04;03-04-05;;;;1;13;8-10;00-Depart Fournisseur
1272;;Callistemon laevis;;Callistemon laevis C10l;Le Callistemon est remarquable pour ses fleurs fabuleuses, abondantes de couleur rouge sur des rameaux courbés. Elles ressemblent à des rince-bouteilles d'où l'origine de son nom français. Les fleurs sont larges et coriaces avec les étamines rassemblées autour d'un épi qui fait 5 à 10 cm de long. Les feuilles persistantes de couleur verte sont fines et coriaces. Cet arbuste de 2 m de haut sur 1 m de large est utilisé dans les massifs ou en pot.  Il peut résister à des températures avoisinant les -10°C/+. A la fin du mois d'Octobre, le Callistemon peut être taillé. ;1 an;420;Floraison éclatante et très originale !;En pot de 10 litres;Rouge;;1;2 m;Floraison abondante et longue;;;;MAA-callistemon_laevis.jpg;MAA-;;;;;;;03-04;03-04-05;;;;1;13;8-10;00-Depart Fournisseur
